Date,Time,Source IP Address,Destination IP address,Source Port,Destination Port
Jan 29,00:36:52,79.186.174.12,216.58.112.55,6348,40686
Jan 29,00:37:18,71.170.80.136,216.58.112.55,60539,25
Jan 29,00:37:35,106.108.177.47,216.58.112.55,31105,1026
Jan 29,00:39:24,192.168.17.24,192.168.9.51,138,138
Jan 29,00:39:24,192.168.17.24,192.168.10.60,138,138
Jan 29,00:39:24,192.168.17.24,192.168.9.51,138,138
Jan 29,00:39:24,192.168.17.24,192.168.10.60,138,138
Jan 29,00:40:16,66.11.164.174,216.58.112.55,60998,25
Jan 29,00:40:44,24.64.216.116,216.58.112.55,14802,1026
Jan 29,00:40:44,24.64.216.116,216.58.112.55,14802,1027
Jan 29,00:40:44,24.64.216.116,216.58.112.55,14802,1028
Jan 29,00:41:11,196.206.134.152,216.58.112.55,4982,25
Jan 29,00:42:36,192.168.17.24,192.168.9.51,138,138
Jan 29,00:42:36,192.168.17.24,192.168.10.60,138,138
Jan 29,00:42:36,192.168.17.24,192.168.9.51,138,138
Jan 29,00:42:36,192.168.17.24,192.168.10.60,138,138
Jan 29,00:43:48,121.14.136.101,216.58.112.55,6000,135
Jan 29,00:45:04,71.228.199.109,216.58.112.55,2720,40686
Jan 29,00:45:05,69.139.205.220,216.58.112.55,1264,40686
Jan 29,00:45:05,66.24.36.155,216.58.112.55,65522,40686
Jan 29,00:45:05,210.213.141.86,216.58.112.55,61459,40686
Jan 29,00:45:07,66.24.36.155,216.58.112.55,65522,40686
Jan 29,00:45:30,205.250.109.214,216.58.112.55,4895,40686
Jan 29,00:45:30,192.168.17.11,10.97.14.25,123,123
Jan 29,00:45:41,192.168.17.24,192.168.9.51,138,138
Jan 29,00:45:41,192.168.17.24,192.168.10.60,138,138
Jan 29,00:45:41,192.168.17.24,192.168.9.51,138,138
Jan 29,00:45:41,192.168.17.24,192.168.10.60,138,138
Jan 29,00:45:47,162.86.171.88,216.58.112.55,31105,1026
Jan 29,00:46:05,24.64.125.106,216.58.112.55,23816,1026
Jan 29,00:46:44,219.139.115.162,216.58.112.55,50558,25
Jan 29,00:48:41,192.168.17.24,192.168.9.51,138,138
Jan 29,00:48:41,192.168.17.24,192.168.10.60,138,138
Jan 29,00:48:41,192.168.17.24,192.168.9.51,138,138
Jan 29,00:48:41,192.168.17.24,192.168.10.60,138,138
Jan 29,00:49:03,200.8.71.247,216.58.112.55,56419,25
Jan 29,00:51:17,24.64.232.7,216.58.112.55,33255,1026
Jan 29,00:51:17,24.64.232.7,216.58.112.55,33255,1027
Jan 29,00:51:17,24.64.232.7,216.58.112.55,33255,1028
Jan 29,00:51:31,59.95.27.206,216.58.112.55,63187,25
Jan 29,00:51:41,192.168.17.24,192.168.9.51,138,138
Jan 29,00:51:41,192.168.17.24,192.168.10.60,138,138
Jan 29,00:51:41,192.168.17.24,192.168.9.51,138,138
Jan 29,00:51:41,192.168.17.24,192.168.10.60,138,138
Jan 29,00:52:15,24.64.240.226,216.58.112.55,33574,1026
Jan 29,00:52:15,24.64.240.226,216.58.112.55,33574,1027
Jan 29,00:52:15,24.64.240.226,216.58.112.55,33574,1028
Jan 29,00:54:02,60.87.149.61,216.58.112.55,31105,1026
Jan 29,00:54:49,192.168.17.24,192.168.9.51,138,138
Jan 29,00:54:49,192.168.17.24,192.168.10.60,138,138
Jan 29,00:54:49,192.168.17.24,192.168.9.51,138,138
Jan 29,00:54:49,192.168.17.24,192.168.10.60,138,138
Jan 29,00:55:18,24.64.31.188,216.58.112.55,24255,1026
Jan 29,00:55:18,24.64.31.188,216.58.112.55,24255,1027
Jan 29,00:55:18,24.64.31.188,216.58.112.55,24255,1028
Jan 29,00:55:24,163.140.169.38,216.58.112.55,31105,1026
Jan 29,00:57:15,209.226.175.184,216.58.112.55,55431,25
Jan 29,00:57:44,192.168.17.24,192.168.9.51,138,138
Jan 29,00:57:44,192.168.17.24,192.168.10.60,138,138
Jan 29,00:57:44,192.168.17.24,192.168.9.51,138,138
Jan 29,00:57:44,192.168.17.24,192.168.10.60,138,138
Jan 29,00:57:53,113.22.125.157,216.58.112.55,31105,1026
Jan 29,00:59:43,222.162.78.66,216.58.112.55,11969,25
Jan 29,01:00:18,80.254.112.200,216.58.112.55,11637,25
Jan 29,01:00:50,192.168.17.24,192.168.9.51,138,138
Jan 29,01:00:50,192.168.17.24,192.168.10.60,138,138
Jan 29,01:00:50,192.168.17.24,192.168.9.51,138,138
Jan 29,01:00:50,192.168.17.24,192.168.10.60,138,138
Jan 29,01:02:38,192.168.17.11,10.97.14.25,123,123
Jan 29,01:03:09,122.164.76.172,216.58.112.55,1792,25
Jan 29,01:03:12,83.239.155.146,216.58.112.55,59114,25
Jan 29,01:03:49,192.168.17.24,192.168.9.51,138,138
Jan 29,01:03:49,192.168.17.24,192.168.10.60,138,138
Jan 29,01:03:49,192.168.17.24,192.168.9.51,138,138
Jan 29,01:03:49,192.168.17.24,192.168.10.60,138,138
Jan 29,01:04:42,72.129.201.114,216.58.112.55,36319,40686
Jan 29,01:04:42,68.43.45.155,216.58.112.55,31159,40686
Jan 29,01:04:42,68.46.224.58,216.58.112.55,16587,40686
Jan 29,01:04:43,71.194.107.51,216.58.112.55,1881,40686
Jan 29,01:04:43,67.8.58.212,216.58.112.55,43500,40686
